timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/09 12:31:20.988, 20874, 24467, 0, 0, 29.82, 2047, 44
2026/09/09 12:31:21.988, 20874, 24467, 0, 0, 29.84, 2047, 43
2026/09/09 12:31:22.988, 20874, 24467, 0, 0, 29.79, 2047, 43
2026/09/09 12:31:23.989, 20874, 24467, 0, 0, 29.76, 2047, 43
2026/09/09 12:31:24.989, 20874, 24467, 0, 0, 29.75, 2047, 43
2026/09/09 12:31:25.989, 20874, 24467, 0, 0, 21.61, 345, 42
2026/09/09 12:31:26.990, 20874, 24467, 0, 0, 15.42, 225, 41
2026/09/09 12:31:27.990, 20874, 24467, 0, 0, 7.75, 180, 41
2026/09/09 12:31:28.990, 20874, 24467, 0, 0, 5.99, 180, 41
2026/09/09 12:31:29.991, 20874, 24467, 0, 0, 5.28, 180, 40
2026/09/09 12:31:30.991, 20874, 24467, 0, 0, 47.18, 810, 48
2026/09/09 12:31:31.991, 20874, 24467, 100, 53, 145.53, 1657, 50
2026/09/09 12:31:32.992, 20874, 24467, 100, 53, 144.99, 1657, 51
2026/09/09 12:31:33.992, 20874, 24467, 100, 52, 145.02, 1650, 52
2026/09/09 12:31:34.992, 20874, 24467, 100, 54, 144.99, 1642, 53
2026/09/09 12:31:35.993, 20874, 24467, 100, 54, 144.99, 1650, 54
2026/09/09 12:31:36.993, 20874, 24467, 100, 54, 145.00, 1642, 55
2026/09/09 12:31:37.993, 20874, 24467, 100, 56, 145.00, 1650, 55
2026/09/09 12:31:38.994, 20874, 24467, 100, 54, 145.01, 1642, 56
2026/09/09 12:31:39.994, 20874, 24467, 100, 93, 144.95, 2130, 54
2026/09/09 12:31:40.995, 20874, 24467, 100, 93, 144.99, 2122, 54
2026/09/09 12:31:41.995, 20874, 24467, 100, 93, 145.01, 2130, 54
2026/09/09 12:31:42.995, 20874, 24467, 100, 93, 145.00, 2122, 55
2026/09/09 12:31:43.996, 20874, 24467, 100, 93, 144.99, 2115, 55
2026/09/09 12:31:44.996, 20874, 24467, 100, 93, 145.00, 2115, 55
2026/09/09 12:31:45.996, 20874, 24467, 100, 93, 145.01, 2107, 56
2026/09/09 12:31:46.997, 20874, 24467, 100, 93, 144.99, 2107, 56
2026/09/09 12:31:47.997, 20874, 24467, 100, 93, 144.99, 2107, 57
2026/09/09 12:31:48.997, 20874, 24467, 100, 93, 145.01, 2107, 57
2026/09/09 12:31:49.998, 20874, 24467, 100, 93, 145.00, 2100, 57
2026/09/09 12:31:50.998, 20874, 24467, 100, 93, 145.01, 2100, 57
2026/09/09 12:31:51.998, 20874, 24467, 100, 93, 144.99, 2100, 58
2026/09/09 12:31:52.999, 20874, 24467, 100, 93, 145.00, 2092, 58
2026/09/09 12:31:53.999, 20874, 24467, 100, 56, 145.04, 1627, 61
2026/09/09 12:31:54.999, 20874, 24467, 100, 55, 145.00, 1627, 61
2026/09/09 12:31:56.000, 20874, 24467, 100, 53, 144.99, 1627, 62
2026/09/09 12:31:57.000, 20874, 24467, 100, 54, 145.01, 1627, 62
2026/09/09 12:31:58.000, 20874, 24467, 100, 51, 144.99, 1620, 62
2026/09/09 12:31:59.001, 20874, 24467, 100, 52, 145.00, 1627, 63
2026/09/09 12:32:00.001, 20874, 24467, 100, 52, 145.01, 1620, 63
2026/09/09 12:32:01.001, 20874, 24467, 100, 52, 145.00, 1627, 63
2026/09/09 12:32:02.002, 20874, 24467, 100, 54, 144.99, 1620, 63
2026/09/09 12:32:03.002, 20874, 24467, 100, 92, 144.94, 2085, 61
2026/09/09 12:32:04.002, 20874, 24467, 100, 92, 145.00, 2077, 61
2026/09/09 12:32:05.003, 20874, 24467, 100, 92, 145.00, 2077, 61
2026/09/09 12:32:06.003, 20874, 24467, 100, 92, 145.00, 2070, 61
2026/09/09 12:32:07.004, 20874, 24467, 100, 92, 144.99, 2070, 61
2026/09/09 12:32:08.004, 20874, 24467, 100, 93, 144.99, 2062, 61
2026/09/09 12:32:09.004, 20874, 24467, 100, 92, 145.01, 2070, 61
2026/09/09 12:32:10.005, 20874, 24467, 100, 92, 144.98, 2070, 62
2026/09/09 12:32:11.005, 20874, 24467, 100, 92, 145.00, 2062, 62
2026/09/09 12:32:12.005, 20874, 24467, 100, 93, 144.99, 2070, 62
2026/09/09 12:32:13.006, 20874, 24467, 100, 92, 145.00, 2062, 62
2026/09/09 12:32:14.006, 20874, 24467, 100, 93, 145.01, 2055, 62
2026/09/09 12:32:15.007, 20874, 24467, 100, 93, 144.99, 2055, 62
2026/09/09 12:32:16.007, 20874, 24467, 100, 93, 144.99, 2055, 62
2026/09/09 12:32:17.007, 20874, 24467, 100, 54, 145.05, 1710, 65
2026/09/09 12:32:18.008, 20874, 24467, 100, 56, 145.01, 1695, 65
2026/09/09 12:32:19.008, 20874, 24467, 100, 55, 144.99, 1702, 65
2026/09/09 12:32:20.008, 20874, 24467, 100, 55, 145.00, 1702, 65
2026/09/09 12:32:21.009, 20874, 24467, 100, 57, 145.00, 1695, 66
